gloss,path,word,date,variant,token
BOIL202463,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Boil 2024-6-3 Upload/Documentation/SG ASL Boil 2024-6-3 CC.mp4,boil,2024-6-3,Documentation,BOIL
BAD(ALT)20231211,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bad (Alt) 2023-12-11 Upload/Documentation/SG ASL Bad (Alt) 2023-12-11 CC.mp4,bad,2023-12-11,Documentation,BAD
BETWEENYOUANDME202446,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Between You and Me 2024-4-6 Upload/Documentation/SG ASL Between You and Me 2024-4-6 CC.mp4,betweenyouandme,2024-4-6,Documentation,BETWEENYOUANDME
BIBLE(ACT)2024410,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bible (Act) 2024-4-10 Upload/Documentation/SG ASL Bible (Act) 2024-4-10 CC.mp4,bible,2024-4-10,Documentation,BIBLE
BIRTHDAY2024424,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Birthday 2024-4-24 Upload/Documentation/SG ASL Birthday 2024-4-24 CC.mp4,birthday,2024-4-24,Documentation,BIRTHDAY
BILLOW(ALT)2024418,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Billow (Alt) 2024-4-18 Upload/Documentation/SG ASL Billow (Alt) 2024-4-18 CC.mp4,billow,2024-4-18,Documentation,BILLOW
BABBLE(ALT),/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Babble (Alt) 2 2023-11-21 Upload/Documentation/SG ASL Babble (Alt) 2 2023-11-21 CC.mp4,babble,2023-11-21,Documentation,BABBLE
BELOW(ALT)2024320,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Below (Alt) 2024-3-20 Upload/Documentation/SG ASL Below (Alt) 2024-3-20 CC.mp4,below,2024-3-20,Documentation,BELOW
BP202475,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL BP 2024-7-5 Upload/Documentation/SG ASL BP 2024-7-5 CC.mp4,bp,2024-7-5,Documentation,BP
BATHTIME202425,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bathtime 2024-2-5 Upload/Documentation/SG ASL Bathtime 2024-2-5 CC.mp4,bathtime,2024-2-5,Documentation,BATHTIME
BLACKPEPPER,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Black Pepper 1 2024-4-30 Upload/Documentation/SG ASL Black Pepper 1 2024-4-30 CC.mp4,blackpepper,2024-4-30,Documentation,BLACKPEPPER
BLOCKPREVENT2024514,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Block Prevent 2024-5-14 Upload/Documentation/SG ASL Block Prevent 2024-5-14 CC.mp4,blockprevent,2024-5-14,Documentation,BLOCKPREVENT
BAT(ANIMAL),/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bat (Animal) 2 2024-1-31 Upload/Documentation/SG ASL Bat (Animal) 2 2024-1-31 CC.mp4,bat,2024-1-31,Documentation,BAT
BADGE,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Badge 1 2023-12-13 Upload/Documentation/SG ASL Badge 1 2023-12-13 CC.mp4,badge,2023-12-13,Documentation,BADGE
BROOM202484,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Broom 2024-8-4 Upload/Documentation/SG ASL Broom 2024-8-4 CC.mp4,broom,2024-8-4,Documentation,BROOM
BOX,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Box 2 2024-7-3 Upload/Documentation/SG ASL Box 2 2024-7-3 CC.mp4,box,2024-7-3,Documentation,BOX
BORDERALT,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Border Alt 2 2024-6-19 Upload/Documentation/SG ASL Border Alt 2 2024-6-19 CC.mp4,borderalt,2024-6-19,Documentation,BORDERALT
BI2024415,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bi 2024-4-15 Upload/Documentation/SG ASL Bi 2024-4-15 CC.mp4,bi,2024-4-15,Documentation,BI
BASEDON,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Based on 2 2024-1-21 Upload/Documentation/SG ASL Based on 2 2024-1-21 CC.mp4,basedon,2024-1-21,Documentation,BASEDON
BACKPACK(VARIANT),/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Backpack (Variant) 2 2023-12-7 Upload/Documentation/SG ASL Backpack (Variant) 2 2023-12-7 CC.mp4,backpack,2023-12-7,Documentation,BACKPACK
BARGIN(ALT),/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bargin (Alt) 4 2024-1-14 Upload/Documentation/SG ASL Bargin (Alt) 4 2024-1-14 CC.mp4,bargin,2024-1-14,Documentation,BARGIN
BED,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bed 1 Handed 2024-2-27 Upload/Documentation/SG ASL Bed 1 Handed 2024-2-27 CC.mp4,bed,2024-2-27,Documentation,BED
BOARDTRUSTEE2024530,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Board Trustee 2024-5-30 Upload/Documentation/SG ASL Board Trustee 2024-5-30 CC.mp4,boardtrustee,2024-5-30,Documentation,BOARDTRUSTEE
BABYSWEETHEART20231126,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Baby Sweetheart 2023-11-26 Upload/Documentation/SG ASL Baby Sweetheart 2023-11-26 CC.mp4,babysweetheart,2023-11-26,Documentation,BABYSWEETHEART
BAM,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bam 3 2023-12-21 Upload/Documentation/SG ASL Bam 3 2023-12-21 CC.mp4,bam,2023-12-21,Documentation,BAM
BUMPCOLLISION2024816,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bump Collision 2024-8-16 Upload/Documentation/SG ASL Bump Collision 2024-8-16 CC.mp4,bumpcollision,2024-8-16,Documentation,BUMPCOLLISION
BOREOTHER2024620,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bore Other 2024-6-20 Upload/Documentation/SG ASL Bore Other 2024-6-20 CC.mp4,boreother,2024-6-20,Documentation,BOREOTHER
BLOODTRANSFUSEALT2024518,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Blood Transfuse Alt 2024-5-18 Upload/Documentation/SG ASL Blood Transfuse Alt 2024-5-18 CC.mp4,bloodtransfusealt,2024-5-18,Documentation,BLOODTRANSFUSEALT
BOWSALUTEALT202471,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bow Salute Alt 2024-7-1 Upload/Documentation/SG ASL Bow Salute Alt 2024-7-1 CC.mp4,bowsalutealt,2024-7-1,Documentation,BOWSALUTEALT
BAND202413,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Band 2024-1-3 Upload/Documentation/SG ASL Band 2024-1-3 CC.mp4,band,2024-1-3,Documentation,BAND
BRIGHTSMARTALT2024728,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bright Smart Alt 2024-7-28 Upload/Documentation/SG ASL Bright Smart Alt 2024-7-28 CC.mp4,brightsmartalt,2024-7-28,Documentation,BRIGHTSMARTALT
BLIND2024511,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Blind 2024-5-11 Upload/Documentation/SG ASL Blind 2024-5-11 CC.mp4,blind,2024-5-11,Documentation,BLIND
BRANDNEW2024710,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Brand New 2024-7-10 Upload/Documentation/SG ASL Brand New 2024-7-10 CC.mp4,brandnew,2024-7-10,Documentation,BRANDNEW
BASH(PARTY)2024124,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bash (Party) 2024-1-24 Upload/Documentation/SG ASL Bash (Party) 2024-1-24 CC.mp4,bash,2024-1-24,Documentation,BASH
BAPTISM(EXTENDED)202418,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Baptism (Extended) 2024-1-8 Upload/Documentation/SG ASL Baptism (Extended) 2024-1-8 CC.mp4,baptism,2024-1-8,Documentation,BAPTISM
BARK(ALT),/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bark (Alt) 2 2024-1-14 Upload/Documentation/SG ASL Bark (Alt) 2 2024-1-14 CC.mp4,bark,2024-1-14,Documentation,BARK
BUNNY,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bunny 2 Handed 2024-8-19 Upload/Documentation/SG ASL Bunny 2 Handed 2024-8-19 CC.mp4,bunny,2024-8-19,Documentation,BUNNY
BARBEDWIRE,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Barbed Wire 3 2024-1-12 Upload/Documentation/SG ASL Barbed Wire 3 2024-1-12 CC.mp4,barbedwire,2024-1-12,Documentation,BARBEDWIRE
BROOCH202483,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Brooch 2024-8-3 Upload/Documentation/SG ASL Brooch 2024-8-3 CC.mp4,brooch,2024-8-3,Documentation,BROOCH
BRIDGE,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bridge 2 2024-7-26 Upload/Documentation/SG ASL Bridge 2 2024-7-26 CC.mp4,bridge,2024-7-26,Documentation,BRIDGE
BLAME202453,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Blame 2024-5-3 Upload/Documentation/SG ASL Blame 2024-5-3 CC.mp4,blame,2024-5-3,Documentation,BLAME
BARELY(VARIANT),/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Barely (Variant) 2 2024-1-13 Upload/Documentation/SG ASL Barely (Variant) 2 2024-1-13 CC.mp4,barely,2024-1-13,Documentation,BARELY
BEHALF(ALT),/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Behalf (Alt) 1 2024-3-11 Upload/Documentation/SG ASL Behalf (Alt) 1 2024-3-11 CC.mp4,behalf,2024-3-11,Documentation,BEHALF
BUNKBED2024819,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bunkbed 2024-8-19 Upload/Documentation/SG ASL Bunkbed 2024-8-19 CC.mp4,bunkbed,2024-8-19,Documentation,BUNKBED
BASH(PHYSICAL),/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bash (Physical) 2 2024-1-24 Upload/Documentation/SG ASL Bash (Physical) 2 2024-1-24 CC.mp4,bash,2024-1-24,Documentation,BASH
BEEHIVE202432,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Beehive 2024-3-2 Upload/Documentation/SG ASL Beehive 2024-3-2 CC.mp4,beehive,2024-3-2,Documentation,BEEHIVE
BERRIES,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Berries 2 2024-3-30 Upload/Documentation/SG ASL Berries 2 2024-3-30 CC.mp4,berries,2024-3-30,Documentation,BERRIES
BURNOUT2024828,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Burn Out 2024-8-28 Upload/Documentation/SG ASL Burn Out 2024-8-28 CC.mp4,burnout,2024-8-28,Documentation,BURNOUT
BECAUSE,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Because 2 2024-2-25 Upload/Documentation/SG ASL Because 2 2024-2-25 CC.mp4,because,2024-2-25,Documentation,BECAUSE
BATHINGSUIT(2PIECEALT)202422,"/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bathing Suit (2 Piece, Alt) 2024-2-2 Upload/Documentation/SG ASL Bathing Suit (2 Piece, Alt) 2024-2-2 CC.mp4",bathingsuit,2024-2-2,Documentation,BATHINGSUIT
BEEP,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Beep 2 2024-3-4 Upload/Documentation/SG ASL Beep 2 2024-3-4 CC.mp4,beep,2024-3-4,Documentation,BEEP
BENEDICTION(ALT),/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Benediction (Alt) 2 2024-3-25 Upload/Documentation/SG ASL Benediction (Alt) 2 2024-3-25 CC.mp4,benediction,2024-3-25,Documentation,BENEDICTION
BATH202425,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bath 2024-2-5 Upload/Documentation/SG ASL Bath 2024-2-5 CC.mp4,bath,2024-2-5,Documentation,BATH
BEEPER(ALT)202434,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Beeper (Alt) 2024-3-4 Upload/Documentation/SG ASL Beeper (Alt) 2024-3-4 CC.mp4,beeper,2024-3-4,Documentation,BEEPER
BAG,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bag 1 2023-12-15 Upload/Documentation/SG ASL Bag 1 2023-12-15 CC.mp4,bag,2023-12-15,Documentation,BAG
BRANDNEWALT2024710,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Brand New Alt 2024-7-10 Upload/Documentation/SG ASL Brand New Alt 2024-7-10 CC.mp4,brandnewalt,2024-7-10,Documentation,BRANDNEWALT
